,field,time_period,ranking,university_name,score,faculty,image_url
82,ml,2000,14,York University,1.5,1,./assets/york.jpeg
83,ml,2000,16,ETS Montreal,1.3,1,./assets/etsmontreal.avif
84,irnlp,2000,1,University of Toronto,4.9,8,./assets/uoft.jpeg
85,irnlp,2000,2,University of Waterloo,3.8,4,./assets/waterloo.jpeg
86,irnlp,2000,3,University of Montreal,3.3,5,./assets/umontreal.jpeg
87,irnlp,2000,4,University of Alberta,2.2,4,./assets/alberta.jpeg
88,irnlp,2000,5,Simon Fraser University,2.0,1,./assets/sfu.jpeg
89,irnlp,2000,6,University of Ottawa,1.4,2,./assets/uottawa.jpeg
90,irnlp,2000,7,Concordia University,1.2,1,./assets/concordia.jpeg
91,irnlp,2000,7,Dalhousie University,1.2,1,./assets/dalhousie.jpeg
92,irnlp,2000,7,University of British Columbia,1.2,1,./assets/ubc.jpeg
93,irnlp,2000,7,University of Saskatchewan,1.2,1,./assets/usask.jpeg
94,hci,2000,1,University of Toronto,19.6,9,./assets/uoft.jpeg
95,hci,2000,2,University of Saskatchewan,5.4,1,./assets/usask.jpeg
96,hci,2000,3,University of Calgary,4.7,2,./assets/ucalgary.jpeg
97,hci,2000,4,Queen’s University,3.9,2,./assets/queens.jpeg
98,hci,2000,5,University of British Columbia,3.6,3,./assets/ubc.jpeg
99,hci,2000,6,University of Waterloo,2.7,3,./assets/waterloo.jpeg
100,hci,2000,7,Simon Fraser University,2.1,1,./assets/sfu.jpeg
101,hci,2000,7,University of Guelph,2.1,2,./assets/guelph.jpeg
102,hci,2000,9,Carleton University,1.5,1,./assets/carleton.jpeg
103,hci,2000,10,University of Manitoba,1.3,1,./assets/umanitoba.jpeg
104,hci,2000,10,University of Victoria,1.3,1,./assets/uvic.jpeg
105,all,2010,1,University of Toronto,15.6,48,./assets/uoft.jpeg
106,all,2010,2,University of Waterloo,13.1,28,./assets/waterloo.jpeg
107,all,2010,3,University of Alberta,8.4,35,./assets/alberta.jpeg
108,all,2010,4,University of British Columbia,8.2,29,./assets/ubc.jpeg
109,all,2010,5,Simon Fraser University,6.3,21,./assets/sfu.jpeg
110,all,2010,6,University of Montreal,4.9,13,./assets/umontreal.jpeg
111,all,2010,7,Carleton University,3.1,5,./assets/carleton.jpeg
112,all,2010,8,McGill University,2.4,10,./assets/mcgill.webp
113,all,2010,9,Concordia University,2.2,7,./assets/concordia.jpeg
114,all,2010,9,Université Laval,2.2,7,./assets/ulaval.jpeg
115,all,2010,11,University of Guelph,2.1,5,./assets/guelph.jpeg
116,all,2010,11,York University,2.1,11,./assets/york.jpeg
117,all,2010,13,University of Calgary,1.8,9,./assets/ucalgary.jpeg
118,all,2010,14,Dalhousie University,1.7,7,./assets/dalhousie.jpeg
119,all,2010,15,Queen’s University,1.6,4,./assets/queens.jpeg
120,all,2010,15,University of Ottawa,1.6,5,./assets/uottawa.jpeg
121,all,2010,15,University of Saskatchewan,1.6,3,./assets/usask.jpeg
122,all,2010,18,ETS Montreal,1.5,6,./assets/etsmontreal.avif
123,all,2010,18,University of Manitoba,1.5,4,./assets/umanitoba.jpeg
124,all,2010,18,University of Victoria,1.5,3,./assets/uvic.jpeg
125,all,2010,18,Western University,1.5,2,./assets/western.jpeg
126,all,2010,22,University of New Brunswick,1.4,3,
127,all,2010,22,Université de Sherbrooke,1.4,5,
128,all,2010,24,Toronto Metropolitan University,1.3,2,
129,all,2010,24,Université du Québec à Montréal,1.3,5,
130,all,2010,26,Ontario Tech University,1.2,2,
131,all,2010,27,Memorial University of Newfoundland,1.1,1,
132,all,2010,28,Polytechnique Montreal,1.0,1,
133,all,2010,28,University of Regina,1.0,1,
134,ai,2010,1,University of Alberta,50.0,24,./assets/alberta.jpeg
135,ai,2010,2,University of Toronto,19.1,14,./assets/uoft.jpeg
136,ai,2010,3,University of Waterloo,19.0,12,./assets/waterloo.jpeg
137,ai,2010,4,University of British Columbia,14.8,9,./assets/ubc.jpeg
138,ai,2010,5,Simon Fraser University,11.7,8,./assets/sfu.jpeg
139,ai,2010,6,Carleton University,8.2,2,./assets/carleton.jpeg
140,ai,2010,7,Université Laval,6.4,4,./assets/ulaval.jpeg
141,ai,2010,8,University of Montreal,4.9,4,./assets/umontreal.jpeg
142,ai,2010,9,McGill University,4.6,4,./assets/mcgill.webp
143,ai,2010,10,Toronto Metropolitan University,3.3,1,
144,ai,2010,11,Western University,2.8,2,./assets/western.jpeg
145,ai,2010,12,Université de Sherbrooke,2.1,3,
146,ai,2010,13,Concordia University,1.8,2,./assets/concordia.jpeg
147,ai,2010,14,University of Calgary,1.7,1,./assets/ucalgary.jpeg
148,ai,2010,15,University of Ottawa,1.6,2,./assets/uottawa.jpeg
149,ai,2010,16,ETS Montreal,1.5,1,./assets/etsmontreal.avif
150,ai,2010,16,Queen’s University,1.5,1,./assets/queens.jpeg
151,ai,2010,16,University of New Brunswick,1.5,1,
152,ai,2010,19,University of Regina,1.3,1,
153,ai,2010,19,York University,1.3,1,./assets/york.jpeg
154,ai,2010,21,Memorial University of Newfoundland,1.2,1,
155,ai,2010,22,Université du Québec à Montréal,1.1,1,
156,cv,2010,1,University of Toronto,21.9,9,./assets/uoft.jpeg
157,cv,2010,2,York University,20.9,7,./assets/york.jpeg
158,cv,2010,3,Simon Fraser University,18.8,7,./assets/sfu.jpeg
159,cv,2010,4,University of Waterloo,18.0,4,./assets/waterloo.jpeg
160,cv,2010,5,University of British Columbia,9.2,6,./assets/ubc.jpeg
161,cv,2010,6,University of Alberta,8.4,6,./assets/alberta.jpeg
162,cv,2010,7,Concordia University,7.7,3,./assets/concordia.jpeg
163,cv,2010,8,University of Guelph,6.9,3,./assets/guelph.jpeg
164,cv,2010,9,University of Montreal,5.9,5,./assets/umontreal.jpeg
165,cv,2010,10,ETS Montreal,5.4,4,./assets/etsmontreal.avif
166,cv,2010,11,McGill University,3.5,2,./assets/mcgill.webp
167,cv,2010,12,Université Laval,2.5,1,./assets/ulaval.jpeg
168,cv,2010,13,Université de Sherbrooke,2.4,3,
169,cv,2010,14,University of Ottawa,2.2,2,./assets/uottawa.jpeg
170,cv,2010,15,Ontario Tech University,2.1,1,
171,cv,2010,16,Carleton University,2.0,1,./assets/carleton.jpeg
172,cv,2010,17,University of Calgary,1.5,1,./assets/ucalgary.jpeg
173,cv,2010,18,Toronto Metropolitan University,1.3,1,
